epoch,train loss,validation loss
0,0.601466785020015,0.4539291262504657
1,0.386209142427445,0.3293465038108084
2,0.3335100571249412,0.30797035834167613
3,0.322375710510966,0.29538952211254305
4,0.3093467640762674,0.2919317123297536
5,0.3049619081339093,0.2840618976512699
6,0.2962396609611113,0.27982577480256826
7,0.2953900650642413,0.2766270597804242
8,0.28907314810224244,0.27272069294385326
9,0.281733295514269,0.27029808426776775
10,0.2817206017277187,0.2684785143315572
11,0.273560534145659,0.26889146126370617
12,0.2781525734048964,0.26592409414953255
13,0.271017176881913,0.26362327442055006
14,0.2663353239913987,0.26106126516801237
15,0.2653354642115177,0.263214345312343
16,0.26195469321388465,0.2590321634594554
17,0.2600367609203649,0.2676505803256751
18,0.2533185473025571,0.2643350701057857
19,0.24681558921949953,0.2648348104158387
20,0.2475317368940341,0.2554717007788097
21,0.24252226747849273,0.2558965208805637
22,0.24113044460606387,0.2555789071250733
23,0.23640532344533935,0.2549496129966397
24,0.23400216909084073,0.2532303334807354
25,0.23023825563388955,0.2533140456242196
26,0.22580465056099,0.25471886982695274
27,0.22100363722573846,0.2566965419007675
28,0.21850290802377118,0.25227054668726906
29,0.2164685418334536,0.2533104069595009
30,0.21092307949353845,0.2566086922299896
31,0.20841956458629635,0.25431387335659783
32,0.2023305779446726,0.2552560768408508
33,0.19876512523280254,0.25273916601061186
34,0.19562842338523745,0.2524590216366619
35,0.1899301710474978,0.2546685709603927
36,0.18552233397271203,0.25408293333665494
37,0.18131937343146348,0.2550196917243439
38,0.18142897625707263,0.25618511519493553
39,0.1750304446528885,0.25725988789362053
40,0.1710414373361536,0.25702651870382454
41,0.1682812832208187,0.25699531982606716
42,0.1659054730111543,0.26120778494958646
43,0.1609142523684879,0.26116915345435937
44,0.1564294619388304,0.2623467115998707
45,0.1504821981832405,0.26352929613944504
46,0.14810402210725954,0.26526897608306726
47,0.14637913898187255,0.26606874069716663
48,0.13925692560497283,0.2682636283030043
49,0.1382075954586716,0.2669391337594584
