epoch,train loss,validation loss
0,0.613101142565572,0.477667574019436
1,0.3981543955441751,0.3470864126322994
2,0.3463048154524429,0.32257449445082065
3,0.3285609954699279,0.3198819508521309
4,0.3206252435670294,0.30827917607713196
5,0.30676939885228294,0.30003183169700787
6,0.30767992081515255,0.2962715890102949
7,0.3016217613720479,0.29394909988457213
8,0.2988091536743248,0.2874944323550278
9,0.29025920827776774,0.2841910531013643
10,0.28725428013254944,0.28329492239533244
11,0.28333904275264565,0.2817785270652451
12,0.2770292950109669,0.27819942443781853
13,0.27652526841467456,0.27623209736808024
14,0.26976226620078697,0.27918162334780533
15,0.26325427794651707,0.2730680238867421
16,0.2628253346699897,0.274169397975923
17,0.26182682765542914,0.2704658242862406
18,0.2590543665258765,0.27011953044704096
19,0.25308311855536764,0.26870904065650275
20,0.2528994455003202,0.26987494287873565
21,0.24637392667811384,0.2674832341766914
22,0.2423757871973234,0.26843821895320236
23,0.2370335262836917,0.2665716299846659
24,0.23726270493184776,0.26774423670429465
25,0.23541135955125306,0.26843819862733503
26,0.23107477631515222,0.27109525170570803
27,0.22752747039101873,0.26853335597518035
28,0.22554734047109543,0.26887246289951794
29,0.22161855903990804,0.2663284072089547
30,0.21484526655691064,0.2677705068473783
31,0.21826315200072594,0.2674058874753242
32,0.20788734255696026,0.2672926335916668
33,0.20304590832735644,0.2675919636266335
34,0.20662695485469385,0.2704230625575971
35,0.20022374743418414,0.27068969455717723
36,0.19831145374350317,0.2741594189056405
37,0.1933307611588446,0.2741195940573522
38,0.19393860757533946,0.273470993032473
39,0.18354635900582358,0.2778192236653417
40,0.17969794907857842,0.27634285179246754
41,0.1817313650735447,0.2775533112905535
42,0.1760236198301813,0.2811747365413778
43,0.17220585157097668,0.28645075456735836
44,0.16701276612257396,0.2838928708707476
45,0.1646051496175807,0.2859625465417377
46,0.15878423105242798,0.2886831548849058
47,0.1569873830008043,0.29090099511431633
48,0.1531904676431521,0.28892889512088044
49,0.1495085332798128,0.29072983612372777
